STATE_NAME_2011,SSC_NAME_2011,POA_CODE_2011
Victoria,Mitta Mitta,3701
Victoria,Tallangatta South,3701
Victoria,Cudgewa,3705
Victoria,Tallangatta Valley,3701
Victoria,West Wodonga,3690
Victoria,Huon Creek,3691
Victoria,Barnawartha North,3691
Victoria,Bonegilla,3691
Victoria,Leneva,3691
Victoria,Staghorn Flat,3691
Victoria,Baranduda,3691
Victoria,Wodonga,3690
Victoria,Bandiana,3694
Victoria,Ebden,3691
Victoria,Yackandandah,3749
Victoria,Tangambalanga,3691
Victoria,Kiewa,3691
Victoria,Osbornes Flat,3691
Victoria,Kergunyah,3691
Victoria,Huon,3691
Victoria,Gundowring,3695
Victoria,Drouin,3818
Victoria,Drouin East,3818
Victoria,Ripplebrook,3818
Victoria,Drouin South,3818
Victoria,Labertouche,3816
Victoria,Longwarry,3816
Victoria,Drouin West,3818
Victoria,Athlone,3818
Victoria,Baw Baw Village,3833
Victoria,Buln Buln East,3821
Victoria,Noojee,3833
Victoria,Hill End (Vic.),3825
Victoria,Erica,3825
Victoria,Tanjil Bren,3833
Victoria,Baw Baw (Vic.),3833
Victoria,Neerim South,3831
Victoria,Willow Grove,3825
Victoria,Rawson,3825
Victoria,Jindivick,3818
Victoria,Neerim,3832
Victoria,Rokeby (Vic.),3821
Victoria,Buln Buln,3821
Victoria,Gentle Annie,3833
Victoria,Tanjil South,3825
Victoria,Neerim East,3831
Victoria,Yarragon,3823
Victoria,Trafalgar (Vic.),3824
Victoria,Narracan,3824
Victoria,Trafalgar South,3824
Victoria,Trafalgar East,3824
Victoria,Childers (Vic.),3824
Victoria,Thorpdale,3835
Victoria,Shady Creek,3821
Victoria,Yarragon South,3823
Victoria,Warragul,3820
Victoria,Warragul South,3821
Victoria,Nilma North,3821
Victoria,Darnum,3822
Victoria,Nilma,3821
Victoria,Hallora,3818
Victoria,Cloverlea,3822
Victoria,Ellinbank,3821
Victoria,Tom Groggin,3885
Victoria,East Bairnsdale,3875
Victoria,Eastwood (Vic.),3875
Victoria,Bairnsdale,3875
Victoria,Wy Yung,3875
Victoria,Lucknow (Vic.),3875
Victoria,Walpa,3875
Victoria,Lindenow,3865
Victoria,Lindenow South,3875
Victoria,Calulu,3875
Victoria,Mount Taylor,3875
Victoria,Clifton Creek,3875
Victoria,Granite Rock,3875
Victoria,Omeo,3898
Victoria,Benambra,3900
Victoria,Swifts Creek,3896
Victoria,Bruthen,3885
Victoria,Tambo Upper,3885
Victoria,Johnsonville,3902
Victoria,Nicholson (Vic.),3882
Victoria,Reedy Flat,3895
Victoria,Sarsfield,3875
Victoria,Dargo,3862
Victoria,Fernbank,3864
Victoria,Mossiface,3885
Victoria,Boole Poole,3880
Victoria,Lakes Entrance,3909
Victoria,Kalimna,3909
Victoria,Swan Reach (Vic.),3903
Victoria,Nungurner,3909
Victoria,Lake Tyers Beach,3909
Victoria,Metung,3904
Victoria,Lake Bunga,3909
Victoria,Orbost,3888
Victoria,Marlo,3888
Victoria,Toorloo Arm,3909
Victoria,Cann River,3890
Victoria,Bendoc,3888
Victoria,Bemm River,3889
Victoria,Bete Bolong,3888
Victoria,Newmerella,3886
Victoria,Buchan,3885
Victoria,Nowa Nowa,3887
Victoria,Mallacoota,3892
Victoria,Genoa,3891
Victoria,Goon Nure,3875
Victoria,Eagle Point,3878
Victoria,Forge Creek,3875
Victoria,Paynesville (Vic.),3880
Victoria,Newlands Arm,3875
Victoria,Raymond Island,3880
Victoria,Forge Creek,3880
Victoria,Venus Bay (Vic.),3956
Victoria,Sandy Point (Vic.),3959
Victoria,Foster,3960
Victoria,Port Welshpool,3965
Victoria,Welshpool (Vic.),3966
Victoria,Woorarra West,3960
Victoria,Toora (Vic.),3962
Victoria,Meeniyan,3956
Victoria,Dumbalk,3956
Victoria,Stony Creek,3957
Victoria,Toora North,3962
Victoria,Buffalo,3958
Victoria,Fish Creek,3959
Victoria,Walkerville (Vic.),3956
Victoria,Yanakie,3960
Victoria,Tarwin Lower,3956
Victoria,French Island,3921
Victoria,Korumburra,3950
Victoria,Poowong,3988
Victoria,Nyora (Vic.),3987
Victoria,Kardella,3951
Victoria,Outtrim,3951
Victoria,Bena,3951
Victoria,Strzelecki (Vic.),3950
Victoria,Poowong North,3988
Victoria,Loch,3945
Victoria,Mirboo North,3871
Victoria,Leongatha,3953
Victoria,Hallston,3953
Victoria,Leongatha North,3953
Victoria,Koonwarra,3954
Victoria,Leongatha South,3953
Victoria,Nerrena,3953
Victoria,Mirboo,3871
Victoria,Cowes,3922
Victoria,Cape Woolamai,3925
Victoria,Surf Beach (Vic.),3922
Victoria,Sunset Strip (Vic.),3922
Victoria,Silverleaves,3922
Victoria,Smiths Beach,3922
Victoria,Wimbledon Heights,3922
Victoria,Ventnor (Vic.),3922
Victoria,Rhyll,3923
Victoria,Newhaven,3925
Victoria,Wilsons Promontory,3960
Victoria,Inverloch,3996
Victoria,Lance Creek,3995
Victoria,Glen Alvie,3979
Victoria,Woolamai,3995
Victoria,Pioneer Bay,3984
Victoria,Krowera,3979
Victoria,Tenby Point,3984
Victoria,Unclassified (Vic.),3996
Victoria,Dalyston,3992
Victoria,Wonthaggi,3995
Victoria,The Gurdies,3984
Victoria,South Dudley,3995
Victoria,Kilcunda,3995
Victoria,San Remo (Vic.),3925
Victoria,North Wonthaggi,3995
Victoria,Cape Paterson,3995
Victoria,Bass,3991
Victoria,Coronet Bay,3984
Victoria,Corinella (Vic.),3984
Victoria,Wattle Bank,3995
Victoria,Grantville,3984
Victoria,Harmers Haven,3995
Victoria,Churchill (Vic.),3842
Victoria,Hazelwood,3840
Victoria,Jeeralang Junction,3840
Victoria,Yinnar South,3869
Victoria,Budgeree,3870
Victoria,Boolarra South,3870
Victoria,Yinnar,3869
Victoria,Hazelwood North,3840
Victoria,Boolarra,3870
Victoria,Hazelwood South,3840
Victoria,Callignee,3844
Victoria,Traralgon South,3844
Victoria,Newborough,3825
Victoria,Moe,3825
Victoria,Hernes Oak,3825
Victoria,Yallourn,3825
Victoria,Moe South,3825
Victoria,Morwell,3840
Victoria,Traralgon,3844
Victoria,Traralgon East,3844
Victoria,Glengarry (Vic.),3854
Victoria,Toongabbie (Vic.),3856
Victoria,Yallourn North,3825
Victoria,Tyers,3844
Victoria,Glengarry North,3854
Victoria,Licola,3858
Victoria,Golden Beach (Vic.),3851
Victoria,Meerlieu,3862
Victoria,Cobains,3851
Victoria,Longford (Vic.),3851
Victoria,Lake Wellington,3851
Victoria,Stradbroke,3851
Victoria,Ocean Grange,3880
Victoria,Loch Sport,3851
Victoria,Seaspray,3851
Victoria,East Sale,3852
Victoria,Stratford (Vic.),3862
Victoria,Briagolong,3860
Victoria,Boisdale,3860
Victoria,Coongulla,3860
Victoria,Newry,3859
Victoria,Heyfield,3858
Victoria,Glenmaggie,3858
Victoria,Maffra (Vic.),3860
Victoria,Tinamba,3859
Victoria,Munro,3862
Victoria,Bundalaguah,3851
Victoria,Seaton (Vic.),3858
Victoria,Rosedale (Vic.),3847
Victoria,Fulham (Vic.),3851
Victoria,Gormandale,3873
Victoria,Nambrok,3847
Victoria,Denison,3858
Victoria,Cowwarr,3857
Victoria,Sale,3850
Victoria,Wurruk,3850
Victoria,Carrajung,3844
Victoria,Won Wron,3971
Victoria,Devon North,3971
Victoria,Binginwarri,3966
Victoria,Jack River,3971
Victoria,Willung South,3847
Victoria,Manns Beach,3971
Victoria,Port Albert,3971
Victoria,Alberton (Vic.),3971
Victoria,Robertsons Beach,3971
Victoria,Woodside (Vic.),3874
Victoria,Yarram,3971
Victoria,Brunswick (Vic.),3056
Victoria,Brunswick East,3057
Victoria,Brunswick West,3055
Victoria,Coburg,3058
Victoria,Pascoe Vale South,3044
Victoria,Alphington,3078
Victoria,Fairfield (Vic.),3078
Victoria,Northcote,3070
Victoria,Thornbury,3071
Victoria,Ascot Vale,3032
Victoria,Essendon,3040
Victoria,Aberfeldie,3040
Victoria,Essendon North,3041
Victoria,Flemington,3031
Victoria,Travancore,3032
Victoria,Moonee Ponds,3039
Victoria,Carlton (Vic.),3053
Victoria,Melbourne,3000
Victoria,Docklands,3008
Victoria,Docklands,3005
Victoria,East Melbourne,3002
Victoria,Melbourne,3004
Victoria,Kensington (Vic.),3031
Victoria,West Melbourne,3003
Victoria,North Melbourne,3051
Victoria,Parkville (Vic.),3052
Victoria,Parkville (Vic.),3010
Victoria,South Yarra,3141
Victoria,Southbank,3006
Victoria,South Wharf,3006
Victoria,Albert Park (Vic.),3206
Victoria,Middle Park (Vic.),3206
Victoria,Elwood,3184
Victoria,Port Melbourne,3207
Victoria,South Melbourne,3205
Victoria,St Kilda (Vic.),3182
Victoria,St Kilda West,3182
Victoria,Windsor (Vic.),3181
Victoria,St Kilda East,3183
Victoria,Balaclava (Vic.),3183
Victoria,Ripponlea,3185
Victoria,Armadale (Vic.),3143
Victoria,Prahran,3181
Victoria,Toorak,3142
Victoria,Abbotsford (Vic.),3067
Victoria,Carlton North,3054
Victoria,Princes Hill,3054
Victoria,Collingwood (Vic.),3066
Victoria,Fitzroy (Vic.),3065
Victoria,Fitzroy North,3068
Victoria,Richmond (Vic.),3121
Victoria,Burnley,3121
Victoria,Cremorne (Vic.),3121
Victoria,Clifton Hill,3068
Victoria,Ashburton,3147
Victoria,Balwyn,3103
Victoria,Mont Albert,3127
Victoria,Deepdene (Vic.),3103
Victoria,Balwyn North,3104
Victoria,Camberwell (Vic.),3124
Victoria,Glen Iris (Vic.),3146
Victoria,Hawthorn (Vic.),3122
Victoria,Hawthorn East,3123
Victoria,Kew (Vic.),3101
Victoria,Kew East,3102
Victoria,Surrey Hills,3127
Victoria,Canterbury (Vic.),3126
Victoria,Bulleen,3105
Victoria,Doncaster,3108
Victoria,Doncaster East,3109
Victoria,Templestowe,3106
Victoria,Templestowe Lower,3107
Victoria,Blackburn North,3130
Victoria,Blackburn,3130
Victoria,Blackburn South,3130
Victoria,Box Hill (Vic.),3128
Victoria,Box Hill South,3128
Victoria,Mont Albert North,3129
Victoria,Box Hill North,3129
Victoria,Burwood (Vic.),3125
Victoria,Burwood East,3151
Victoria,Black Rock (Vic.),3193
Victoria,Beaumaris (Vic.),3193
Victoria,Brighton (Vic.),3186
Victoria,Brighton East,3187
Victoria,Highett,3190
Victoria,Cheltenham (Vic.),3192
Victoria,Hampton (Vic.),3188
Victoria,Hampton East,3188
Victoria,Sandringham (Vic.),3191
Victoria,McKinnon,3204
Victoria,Bentleigh,3204
Victoria,Bentleigh East,3165
Victoria,Carnegie,3163
Victoria,Caulfield East,3145
Victoria,Caulfield North,3161
Victoria,Caulfield South,3162
Victoria,Caulfield,3162
Victoria,Elsternwick,3185
Victoria,Gardenvale,3185
Victoria,Hughesdale,3166
Victoria,Murrumbeena,3163
Victoria,Ormond,3204
Victoria,Glen Huntly,3163
Victoria,Aspendale Gardens,3195
Victoria,Waterways,3195
Victoria,Braeside,3195
Victoria,Dingley Village,3172
Victoria,Carrum,3197
Victoria,Patterson Lakes,3197
Victoria,Bonbeach,3196
Victoria,Chelsea,3196
Victoria,Chelsea Heights,3196
Victoria,Aspendale,3195
Victoria,Edithvale,3196
Victoria,Mentone,3194
Victoria,Heatherton,3202
