Postcode,Apr 2011 - Mar 2012,Apr 2012 - Mar 2013,Apr 2013 - Mar 2014,Apr 2014 - Mar 2015,Apr 2015 - Mar 2016,% change 2015 - 2016
3882,13,22,23,22,30,0.363636364
3885,43,69,63,86,86,0
3886,11,18,28,20,17,-0.15
3887,36,46,47,61,70,0.147540984
3888,254,276,259,354,329,-0.070621469
3889,16,15,10,18,11,-0.388888889
3890,24,44,35,85,37,-0.564705882
3891,7,9,3,6,9,0.5
3892,94,49,83,86,52,-0.395348837
3893,0,3,0,2,1,-0.5
3895,2,5,3,7,2,-0.714285714
3896,9,23,15,28,24,-0.142857143
3898,25,33,50,22,50,1.272727273
3900,7,9,9,6,17,1.833333333
3902,8,14,14,6,6,0
3903,18,30,17,22,39,0.772727273
3904,28,31,57,57,51,-0.105263158
3909,646,922,1021,817,935,0.144430845
3910,785,995,1090,936,1066,0.138888889
3911,171,193,235,184,343,0.864130435
3912,643,654,758,823,843,0.024301337
3913,226,221,193,152,248,0.631578947
3915,1121,1298,1246,1545,1514,-0.020064725
3916,29,47,39,27,21,-0.222222222
3918,94,134,131,143,178,0.244755245
3919,198,176,156,180,239,0.327777778
3920,12,13,15,7,5,-0.285714286
3921,3,0,6,1,3,2
3922,509,522,735,678,735,0.084070796
3923,12,10,16,12,12,0
3925,175,193,174,191,222,0.162303665
3926,109,67,84,80,110,0.375
3927,33,44,41,62,56,-0.096774194
3928,2,14,12,15,13,-0.133333333
3929,77,78,39,34,53,0.558823529
3930,765,460,373,436,610,0.399082569
3931,1807,1796,2004,1773,2312,0.304004512
3933,66,45,107,68,147,1.161764706
3934,499,401,475,345,454,0.315942029
3936,450,531,665,711,727,0.022503516
3937,39,49,61,34,108,2.176470588
3938,82,70,121,176,123,-0.301136364
3939,1097,1342,1518,1620,1798,0.109876543
3940,246,276,369,376,384,0.021276596
3941,798,946,970,1219,1008,-0.173092699
3942,95,111,133,108,113,0.046296296
3943,206,291,256,218,140,-0.357798165
3944,66,72,72,57,57,0
3945,21,50,16,36,32,-0.111111111
3946,4,7,4,4,0,-1
3950,192,307,231,298,372,0.248322148
3951,14,12,20,40,33,-0.175
3953,364,391,459,361,384,0.063711911
3954,4,8,4,6,9,0.5
3956,104,114,123,86,111,0.290697674
3957,8,1,7,8,5,-0.375
3958,1,1,8,4,7,0.75
3959,20,18,28,29,25,-0.137931034
3960,98,88,81,133,99,-0.255639098
3962,45,27,43,43,27,-0.372093023
3964,4,2,5,3,2,-0.333333333
3965,13,23,8,15,6,-0.6
3966,21,23,15,14,20,0.428571429
3967,2,1,2,2,0,-1
3971,182,283,217,311,196,-0.36977492
3975,541,476,557,690,875,0.268115942
3976,1037,1209,1166,1494,1439,-0.036813922
3977,4392,4666,4992,5899,7152,0.212408883
3978,120,178,273,446,678,0.520179372
3979,5,5,6,21,17,-0.19047619
3980,149,118,128,185,199,0.075675676
3981,202,235,173,238,341,0.432773109
3984,220,235,333,398,361,-0.092964824
3987,54,21,57,31,43,0.387096774
3988,19,17,41,26,34,0.307692308
3990,4,7,4,10,4,-0.6
3991,46,24,38,27,62,1.296296296
3992,17,17,24,32,56,0.75
3995,839,1000,1170,1038,1335,0.286127168
3996,228,287,276,297,246,-0.171717172
