SUBURB,Oct - Dec 14,Jan - Mar 15,Apr - Jun 15,Jul - Sep 15,Oct - Dec 15,No of sales Oct - Dec 15,No of Sales 2015,Oct - Dec 14 - Oct - Dec 15,Jul - Sep 15 - Oct - Dec 15
CHELTENHAM NORTH,662000,610000,740000,780000,755000,11,42,14,-3.2
CHILTERN,185000,230000,185000,238000,200000,7,25,8.1,-16
CHIRNSIDE PARK,502500,520000,570000,595000,571500,50,169,13.7,-3.9
CHUM CREEK,365000,361500,420000,565000,435000,2,7,19.2,-23
CHURCHILL,155000,179000,175000,165000,168500,24,71,8.7,2.1
CLARINDA,652000,636500,680000,677500,740000,17,70,13.5,9.2
CLAYTON,825500,905000,965000,1000000,980000,17,88,18.7,-2
CLAYTON NORTH,875500,955000,950000,1155000,1049400,18,58,19.9,-9.1
CLAYTON SOUTH,582500,630000,655000,584500,735000,12,40,26.2,25.7
CLIFTON HILL,1280000,1025000,1050000,1110000,1085000,21,92,-15.2,-2.3
CLIFTON SPRINGS,344000,355000,357000,369000,336000,48,183,-2.3,-8.9
CLUNES,212500,250000,295000,237500,239500,12,32,12.7,0.8
CLYDE,381300,294900,397500,397000,399500,6,22,4.8,0.6
CLYDE NORTH,362500,282000,367500,433700,448000,59,298,23.6,3.3
COBDEN,227500,250000,173500,180000,170000,5,23,-25.3,-5.6
COBRAM,215000,193800,199500,260000,248000,35,115,15.3,-4.6
COBURG,727500,765000,750000,830000,761000,73,264,4.6,-8.3
COBURG EAST,599000,651000,610000,715000,697500,20,85,16.4,-2.4
COBURG NORTH,615000,650000,626300,683000,665000,21,83,8.1,-2.6
COCKATOO,361000,375000,400000,419000,385500,17,66,6.8,-8
COHUNA,132500,135000,192000,182500,170000,11,37,28.3,-6.8
COLAC,242000,243000,250000,237500,244000,42,166,0.8,2.7
COLDSTREAM,442000,430000,415000,436700,505000,9,26,14.3,15.7
COLERAINE,131500,115000,85500,90000,186000,1,19,41.4,106.7
COLLINGWOOD,760000,794500,947500,917500,947500,12,51,24.7,3.3
COOLAROO,292000,294500,295500,310000,315500,11,52,8,1.8
